qname	promoter	3_prime_element	W1_vs_W1_prime	aligner_IR1_repeat_count	nucleotide_IR1_repeat_count
bd3304bc-e5e2-4d8d-8b68-7389b0d8d828	Wp5	W1_prime	YH	2	2.1
59ee32a5-ed2b-443e-9b6d-80a581b16e8d	Wp5	W1_prime	YH	2	2
d36a91be-9d7f-4e47-b453-26a4eff7589a	Wp5	W1_prime	Y2	1.5	13.5
172af0db-1197-447f-9c2b-fbb9f5996825	NA	NA	miR-BHRF1-1_processed	NA	NA
a3a5c447-7d57-474d-b683-33a590eb1e25	NA	NA	miR-BHRF1-1_processed	NA	NA
d6d911bb-f6c1-4e99-a109-d117d7bd59e1	NA	NA	miR-BHRF1-1_processed	NA	NA
b10ea1aa-d1e4-4e28-b86d-670702575885	NA	NA	miR-BHRF1-2_processed	NA	NA
3ed71d2e-f3c4-42fd-9435-655864236d1d	NA	NA	miR-BHRF1-2_processed	NA	NA
9e3d9538-4126-4686-a8e4-7e4f42569131	NA	NA	miR-BHRF1-2_processed	NA	NA
723d3d78-47d4-46a0-aa3e-3d7978c47f9f	NA	NA	miR-BHRF1-2_processed	NA	NA
b79e6a72-b073-4141-a5b4-7fceb7104748	NA	NA	NA	NA	NA
d7d80006-bf1a-400a-a7b7-a768505eeff8	NA	NA	miR-BHRF1-2_processed	NA	NA
53da3035-4f1c-4193-ab27-38b4157a0907	NA	NA	miR-BHRF1-2_processed	NA	NA
f33c7d31-ff6a-44cd-bb0c-44dc2bab7f68	NA	NA	miR-BHRF1-2_processed	NA	NA
